,DÁTUM,5,25,45,65,85,105
144,2020-11-06 00:00:00,0.0,0.0,7.163895970201058e-07,6.121667373846783e-06,3.751652879854854e-05,0.00017853290584620877
145,2020-11-05 00:00:00,0.0,0.0,0.0,3.0608336869233917e-06,3.44414034871921e-05,0.0001487774215385073
146,2020-11-04 00:00:00,0.0,0.0,7.163895970201058e-07,6.504271584712207e-06,3.075125311356438e-05,0.00015621629261543268
147,2020-11-03 00:00:00,0.0,0.0,0.0,2.2956252651925435e-06,3.44414034871921e-05,0.00016365516369235805
148,2020-11-02 00:00:00,0.0,0.0,3.581947985100529e-07,4.591250530385087e-06,2.2140902241766353e-05,0.00015621629261543268
149,2020-11-01 00:00:00,0.0,0.0,0.0,4.591250530385087e-06,2.3985977428580214e-05,0.0001338996793846566
150,2020-10-31 00:00:00,0.0,0.0,3.581947985100529e-07,3.0608336869233917e-06,1.8450751868138625e-05,8.926645292310439e-05
151,2020-10-30 00:00:00,0.0,0.0,1.0745843955301586e-06,3.826042108654239e-06,2.4601002490851503e-05,8.926645292310439e-05
152,2020-10-29 00:00:00,0.0,0.0,7.163895970201058e-07,2.6782294760579678e-06,1.96808019926812e-05,0.00011158306615388049
153,2020-10-28 00:00:00,0.0,0.0,3.581947985100529e-07,2.6782294760579678e-06,1.4760601494510901e-05,8.182758184617903e-05
154,2020-10-27 00:00:00,0.0,0.0,0.0,3.4434378977888156e-06,1.96808019926812e-05,0.00016365516369235805
155,2020-10-26 00:00:00,0.0,0.0,0.0,2.6782294760579678e-06,1.8450751868138625e-05,7.438871076925365e-05
156,2020-10-25 00:00:00,0.0,0.0,3.581947985100529e-07,3.0608336869233917e-06,1.3530551369968326e-05,2.9755484307701462e-05
157,2020-10-24 00:00:00,0.0,0.0,0.0,1.1478126325962717e-06,1.6605676681324765e-05,5.9510968615402924e-05
158,2020-10-23 00:00:00,0.0,0.0,7.163895970201058e-07,1.9130210543271195e-06,1.722070174359605e-05,8.926645292310439e-05
159,2020-10-22 00:00:00,0.0,0.0,0.0,2.2956252651925435e-06,1.2915526307697039e-05,0.00014133855046158196
160,2020-10-21 00:00:00,0.0,0.0,0.0,1.9130210543271195e-06,1.5990651619053476e-05,0.00012646080830773122
161,2020-10-20 00:00:00,0.0,0.0,3.581947985100529e-07,1.5304168434616958e-06,1.2915526307697039e-05,8.926645292310439e-05
162,2020-10-19 00:00:00,0.0,0.0,3.581947985100529e-07,2.2956252651925435e-06,7.995325809526738e-06,8.182758184617903e-05
163,2020-10-18 00:00:00,0.0,0.0,0.0,1.9130210543271195e-06,1.1685476183154464e-05,6.69498396923283e-05
164,2020-10-17 00:00:00,0.0,0.0,0.0,7.652084217308479e-07,7.3803007472554505e-06,7.438871076925365e-05
165,2020-10-16 00:00:00,0.0,4.7516999206466113e-07,0.0,1.1478126325962717e-06,1.3530551369968326e-05,5.207209753847756e-05
